Player1,Player2,Result
RangedRushImproved,HSBot,WIN
RangedRushImproved,HSBot,WIN
RangedRushImproved,HSBot,WIN
RangedRushImproved,HSBot,WIN
RangedRushImproved,HSBot,WIN
RangedRushImproved,HSBot,WIN
