Player1,Player2,Result
RangedRushImproved,CoacAI,LOSE
RangedRushImproved,CoacAI,DRAW
RangedRushImproved,CoacAI,LOSE
RangedRushImproved,CoacAI,DRAW
RangedRushImproved,CoacAI,LOSE
RangedRushImproved,CoacAI,DRAW
