Player1,Player2,Result
HSBot,WorkerRush,LOSE
HSBot,WorkerRush,WIN
HSBot,WorkerRush,LOSE
HSBot,WorkerRush,WIN
HSBot,WorkerRush,LOSE
HSBot,WorkerRush,WIN
