Name,Win Rate,Wins,Losses,Draws
CoacAI,91.67%,33,0,3
LightRush,66.67%,24,12,0
BradyBot,66.67%,24,12,0
RangedRushImproved,41.67%,15,12,9
DameBot,41.67%,15,15,6
HSBot,8.33%,3,33,0
WorkerRush,8.33%,3,33,0
