Name,Win Rate,Wins,Losses,Draws
CoacAI,90.74%,98,4,6
BradyBot,67.59%,73,35,0
LightRush,51.85%,56,52,0
RangedRushImproved,38.89%,42,54,12
WorkerRush,37.04%,40,68,0
HSBot,25.00%,27,75,6
DameBot,22.22%,24,72,12
