Name,Win Rate,Wins,Losses,Draws
CoacAI,91.67%,33,0,3
BradyBot,75.00%,27,9,0
RangedRushImproved,66.67%,24,9,3
WorkerRush,50.00%,18,18,0
LightRush,41.67%,15,21,0
HSBot,0.00%,0,30,6
DameBot,0.00%,0,30,6
